Language,Accuracy,Precision_Protagonist,Precision_Antagonist,Precision_Innocent,Recall_Protagonist,Recall_Antagonist,Recall_Innocent
EN,0.34839650145772594,0.15384615384615385,0.7449392712550608,0.11781609195402298,0.1076923076923077,0.3857442348008386,0.5189873417721519
RU,0.35149863760217986,0.4,0.49230769230769234,0.10655737704918032,0.17391304347826086,0.5106382978723404,0.203125
PT,0.4375,0.0,0.6,0.4,0.0,0.5,0.5714285714285714
HI,0.3410553410553411,0.59958071278826,0.35149863760217986,0.16201859229747675,0.26408125577100644,0.5052219321148825,0.25311203319502074
BG,0.44019138755980863,0.2857142857142857,0.7186440677966102,0.17391304347826086,0.20512820512820512,0.4988235294117647,0.3870967741935484
